"ENSEMBL"	"BE02_107A"
"506"	"ENSG00000033800.14"	682
"507"	"ENSG00000033867.18"	430
"508"	"ENSG00000034053.15"	99.999
"509"	"ENSG00000034152.20"	151
"510"	"ENSG00000034239.11"	5
"511"	"ENSG00000034510.6"	544
"512"	"ENSG00000034533.12"	107
"513"	"ENSG00000034677.13"	820.001
"514"	"ENSG00000034693.15"	346.995
"515"	"ENSG00000034713.8"	88
"516"	"ENSG00000034971.17"	8
"517"	"ENSG00000035115.22"	493.998
"518"	"ENSG00000035141.10"	85.001
"519"	"ENSG00000035403.18"	1162
"520"	"ENSG00000035499.13"	6
"521"	"ENSG00000035664.11"	40
"522"	"ENSG00000035681.10"	603
"523"	"ENSG00000035687.10"	283
"524"	"ENSG00000035720.8"	30
"525"	"ENSG00000035862.13"	399
"526"	"ENSG00000035928.17"	1331.999
"527"	"ENSG00000036054.13"	498.001
"528"	"ENSG00000036257.14"	1244.001
"529"	"ENSG00000036448.10"	41
"530"	"ENSG00000036473.9"	28
"531"	"ENSG00000036530.9"	10
"532"	"ENSG00000036549.13"	1075.999
"533"	"ENSG00000036565.15"	0
"534"	"ENSG00000036672.16"	37
"535"	"ENSG00000036828.17"	246
"536"	"ENSG00000037042.9"	184.035
"537"	"ENSG00000037241.7"	68
"538"	"ENSG00000037280.16"	154
"539"	"ENSG00000037474.15"	463.001
"540"	"ENSG00000037637.11"	226
"541"	"ENSG00000037749.13"	167
"542"	"ENSG00000037757.14"	62
"543"	"ENSG00000037897.17"	28
"544"	"ENSG00000037965.6"	0
"545"	"ENSG00000038002.9"	365
"546"	"ENSG00000038210.14"	299
"547"	"ENSG00000038219.13"	2610
"548"	"ENSG00000038274.18"	455
"549"	"ENSG00000038295.8"	166
"550"	"ENSG00000038358.15"	324.939
"551"	"ENSG00000038382.23"	1761
"552"	"ENSG00000038427.16"	5623.999
"553"	"ENSG00000038532.17"	388.999
"554"	"ENSG00000038945.15"	242
"555"	"ENSG00000039068.20"	1870
"556"	"ENSG00000039123.16"	1242.999
"557"	"ENSG00000039139.11"	292.999
"558"	"ENSG00000039319.17"	804.001
"559"	"ENSG00000039523.20"	423
"560"	"ENSG00000039537.16"	1005.999
"561"	"ENSG00000039560.14"	350
"562"	"ENSG00000039600.11"	1
"563"	"ENSG00000039650.12"	409.999
"564"	"ENSG00000039987.7"	1
"565"	"ENSG00000040199.18"	183
"566"	"ENSG00000040275.17"	44
"567"	"ENSG00000040341.18"	463.935
"568"	"ENSG00000040487.13"	19
"569"	"ENSG00000040531.16"	162
"570"	"ENSG00000040608.14"	15
"571"	"ENSG00000040633.13"	49
"572"	"ENSG00000040731.10"	3
"573"	"ENSG00000040933.17"	400
"574"	"ENSG00000041353.10"	223
"575"	"ENSG00000041357.16"	286.999
"576"	"ENSG00000041515.16"	12
"577"	"ENSG00000041802.11"	308
"578"	"ENSG00000041880.15"	58
"579"	"ENSG00000041982.17"	166
"580"	"ENSG00000041988.16"	37
"581"	"ENSG00000042062.13"	20
"582"	"ENSG00000042088.14"	166
"583"	"ENSG00000042286.15"	24
"584"	"ENSG00000042304.14"	0
"585"	"ENSG00000042317.17"	176
"586"	"ENSG00000042429.12"	510.003
"587"	"ENSG00000042445.14"	296
"588"	"ENSG00000042493.16"	119.001
"589"	"ENSG00000042753.12"	74.001
"590"	"ENSG00000042781.14"	0
"591"	"ENSG00000042813.8"	0
"592"	"ENSG00000042832.12"	33
"593"	"ENSG00000042980.14"	1746
"594"	"ENSG00000043039.7"	70
"595"	"ENSG00000043093.15"	274
"596"	"ENSG00000043143.22"	264
"597"	"ENSG00000043355.12"	1
"598"	"ENSG00000043462.13"	462
"599"	"ENSG00000043514.17"	261.999
"600"	"ENSG00000043591.6"	0
"601"	"ENSG00000044012.4"	3
"602"	"ENSG00000044090.13"	617
"603"	"ENSG00000044115.21"	1885
"604"	"ENSG00000044446.12"	1016.001
"605"	"ENSG00000044459.15"	167
"606"	"ENSG00000044524.11"	572
"607"	"ENSG00000044574.9"	2248.757
"608"	"ENSG00000046604.15"	1576.999
"609"	"ENSG00000046647.15"	62
"610"	"ENSG00000046651.16"	1230.002
"611"	"ENSG00000046653.15"	15
"612"	"ENSG00000046774.10"	0
"613"	"ENSG00000046889.19"	591
"614"	"ENSG00000047056.18"	194
"615"	"ENSG00000047188.16"	932
"616"	"ENSG00000047230.15"	285.001
"617"	"ENSG00000047249.18"	180
